"ATTRIBUTENAME","CATEGORYNAME","CAT_NO","ATT_NO","CODE","DESCRIPTION","CODESOURCE"
"Binder Grade-Superpave","Pavement","7","7","99","â46 or moreÂ , 88 or moreÂ ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","1","Less than ACâ2.5Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","2","ACâ2.5 to ACâ4Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","3","ACâ5 to ACâ9Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","4","ACâ10 to ACâ19Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","5","ACâ20 to ACâ29Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","6","ACâ30 to ACâ39Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","7","ACâ40 to ACâ49Â ","hpms"
"Binder Grade-Viscosity","Pavement","7","8","8","ACâ50 or moreÂ ","hpms"
"Crack Type","Pavement Condition","8","1","1","Fatigue","user"
"Crack Type","Pavement Condition","8","1","2","Logitudinal","user"
"Crack Type","Pavement Condition","8","1","3","Reflective","user"
"Crack Type","Pavement Condition","8","1","4","Transverse or thermal cracking","user"
"Test Condition","Pavement Test","9","3","DRY","Dry ","user"
"Test Condition","Pavement Test","9","3","WET","Wet","user"
"Span Type","System","1","1","A","Add a section","internal"
"Span Type","System","1","1","D","Delete a section","internal"
"Span Type","System","1","1","ALL","Add a inside (left) lane","internal"
"Span Type","System","1","1","DLL","Delete a inside (left) lane","internal"
"Span Type","System","1","1","ARL","Add a outside (right) lane","internal"
"Span Type","System","1","1","DRL","Delete a outside (right) lane","internal"
"Span Type","System","1","1","TA","Add a section from a different route","internal"
"Span Type","System","1","1","TD","Delete a transfered section from the original route","internal"
"Span Type","System","1","1","TAL","Add lanes of the sections on two paralellel routes to the merged route","internal"
"Span Type","System","1","1","TDL","Delete lanes from the sections on the two paralellel routes to be merged","internal"
"Span Type","System","1","1","ARP","Insert a new RP","internal"
"Span Type","System","1","1","DRP","Remove an existing RP","internal"
"Span Type","System","1","1","L","Number of lanes","internal"
"Span Type","System","1","1","P","All projects","internal"
"Span Type","System","1","1","PS","Projects on shoulder","internal"
"Span Type","System","1","1","S","Structure - Bridge, Tunnel","internal"
"Span Type","System","1","1","S3","Causeway","internal"
"Span Type","System","1","1","F1","Barrier_L","internal"
"Span Type","System","1","1","F2","Barrier_R","internal"
"Span Type","System","1","1","F3","Guardrail_L","internal"
"Span Type","System","1","1","F4","Guardrail_R","internal"
"Span Type","System","1","1","F5","Curb & Gutter_L","internal"
"Span Type","System","1","1","F6","Curb & Gutter_R","internal"
"Span Type","System","1","1","PSL","Auxilliary/pass lanes","internal"
"Span Type","System","1","1","CL","Climbing lane ","internal"
"Span Type","System","1","1","NPZ","No passing zone","internal"
"Span Type","System","1","1","TRK","Truck road sections","internal"
"Span Type","System","1","1","CP","Division, Median and Overlap","internal"
"Span Type","System","1","1","B1","Engineering District","internal"
"Span Type","System","1","1","B0","Engineering Org","internal"
"Span Type","System","1","1","B3","Congressional District","internal"
"Span Type","System","1","1","B2","State Legislature District","internal"
"Span Type","System","1","1","B13","National Highway System","hpms"
"Span Type","System","1","1","B14","National Network - Dimensioned commercial vehicle route under STAA of 1982","hpms"
"Span Type","System","1","1","B15","Strategic Highway Network (STRAHNET) - Defense ","hpms"
"Span Type","System","1","1","B16","National Ambient Air Quality Standards (NAAQS) Non-attainment Area","hpms"
"Span Type","System","1","1","B17","Urbanized Area","hpms"
"Span Type","System","1","1","B18","Small Urban Area","hpms"
"Span Type","System","1","1","B4","County","internal"
"Span Type","System","1","1","B5","City or Town or Township","internal"
"Span Type","System","1","1","B6","State Park","internal"
"Span Type","System","1","1","B7","Local Park","internal"
"Span Type","System","1","1","B8","Private Land","internal"
"Span Type","System","1","1","B9","Indian Tribe Nation","internal"
"Span Type","System","1","1","B10","U.S. Forest Service","internal"
"Span Type","System","1","1","B11","National Park ","internal"
"Span Type","System","1","1","B12","Bureau of Land Management","internal"
"Span Type","System","1","1","B30","Other","internal"
"Span Type","System","1","1","H1","F_System","hpms"
"Span Type","System","1","1","H2","Urban_Code","hpms"
"Span Type","System","1","1","H3","Facility_Type","hpms"
"Span Type","System","1","1","H5","Access_Control","hpms"
"Span Type","System","1","1","H9","HOV lanes - HOV_Type & HOV_Lanes","hpms"
"Span Type","System","1","1","H10","Peak_Lanes - used in the peak hour direction of traffic flow ","hpms"
"Span Type","System","1","1","H11","Counter_Peak_Lanes - used in the peak hour in the counter direction of traffic flow ","hpms"
"Span Type","System","1","1","H14","Speed_Limit","hpms"
"Span Type","System","1","1","H16","Toll - Toll Charged & Toll_Type","hpms"
"Span Type","System","1","1","H20","Alternate_Route_Name","hpms"
"Span Type","System","1","1","H21","AADT - AADT, AADT_Single, Pct_Peak_Single, AADT_Combination, Pct_Peak_Combination, K_Factor, Dir_Factor","hpms"
"Span Type","System","1","1","H29","Type_Signal","hpms"
"Span Type","System","1","1","H30","Pct_Green_Time","hpms"
"Span Type","System","1","1","H31","Lane_Width","hpms"
"Span Type","System","1","1","H37","Shoulder_L - Shoulder_Type & Shoulder_Width_L","hpms"
"Span Type","System","1","1","H39","Shoulder_R - Shoulder_Type & Shoulder_Width_R","hpms"
"Span Type","System","1","1","H40","Peak_Parking","hpms"
"Span Type","System","1","1","H41","Widening_Obstacle","hpms"
"Span Type","System","1","1","H42","Widening_Potential","hpms"
"Span Type","System","1","1","H43","Curves","hpms"
"Span Type","System","1","1","H44","Terrian_Type","hpms"
"Span Type","System","1","1","H45","Grades ","hpms"
"Span Type","System","1","1","H46","Pct_Pass_Sight","hpms"
"Span Type","System","1","1","H47","IRI","hpms"
"Span Type","System","1","1","H49","Surface_Type","hpms"
"Span Type","System","1","1","H50","Rutting","hpms"
"Span Type","System","1","1","H51","Faulting","hpms"
"Span Type","System","1","1","H61","Climate","internal"
"Span Type","System","1","1","H62","Soil_Type","hpms"
"Point Type","System","1","2","MP","MilePost_Engineering Station","internal"
"Point Type","System","1","2","0","Off-road Â point ","internal"
"Point Type","System","1","2","1","Off-system road","internal"
"Point Type","System","1","2","CRK","Crack","internal"
"Point Type","System","1","2","FLU","Flush ","internal"
"Point Type","System","1","2","FRI","Friction ","internal"
"Point Type","System","1","2","FWD","FWD deflection ","internal"
"Point Type","System","1","2","EX","Ramp-off (Exit)","internal"
"Point Type","System","1","2","EN","Ramp-on (Entrance)","internal"
"Point Type","System","1","2","20","County boundary","internal"
"Point Type","System","1","2","21","District boundary","internal"
"Point Type","System","1","2","22","State boundary","internal"
"Point Type","System","1","2","3","Junction","internal"
"Point Type","System","1","2","32","Pullout","internal"
"Point Type","System","1","2","4","Pass","internal"
"Point Type","System","1","2","7","Rest area ","internal"
"Point Type","System","1","2","8","Traffic count station","internal"
"Point Type","System","1","2","9","Inspection station","internal"
"RP Type","General","3","4","MP","Mile post","internal"
"Road Side ","General","3","3","L","Left","internal"
"Road Side ","General","3","3","R","Right","internal"
"Program","General","3","1","111","New construction","user"
"Program","General","3","1","112","Preservation","user"
"Program","General","3","1","113","Preventative ","user"
"Program","General","3","1","114","Minor repair","user"
"Project Type","General","3","2","1","Statewide","user"
